service_date,day_class,table,field,empty,dash
2024-11-18,laboral,viajes,id_tarjeta,0,0
2024-11-18,laboral,viajes,id_viaje,0,0
2024-11-18,laboral,etapas,tipo_dia,0,0
2024-11-18,laboral,etapas,tipo_transporte,0,0
2024-11-18,laboral,etapas,fExpansionServicioPeriodoTS,0,0
2024-11-18,laboral,etapas,fExpansionZonaPeriodoTS,0,1074920
2024-11-18,laboral,etapas,tiene_bajada,0,0
2024-11-18,laboral,etapas,tiempo2,0,0
2024-11-18,laboral,etapas,tiempo_subida,0,0
2024-11-18,laboral,etapas,tiempo_bajada,0,1068306
2024-11-18,laboral,etapas,tiempo_etapa,0,1068306
2024-11-18,laboral,etapas,x_subida,0,0
2024-11-18,laboral,etapas,y_subida,0,0
2024-11-18,laboral,etapas,x_bajada,0,1068306
2024-11-18,laboral,etapas,y_bajada,0,1068306
2024-11-18,laboral,etapas,dist_ruta_paraderos,0,1068306
2024-11-18,laboral,etapas,dist_eucl_paraderos,0,1068306
2024-11-18,laboral,etapas,comuna_subida,0,1822
2024-11-18,laboral,etapas,comuna_bajada,0,1074394
2024-11-18,laboral,etapas,zona_subida,0,1898
2024-11-18,laboral,etapas,zona_bajada,0,1074440
2024-11-18,laboral,etapas,periodoSubida,0,0
2024-11-18,laboral,etapas,periodoBajada,0,1068306
2024-11-18,laboral,etapas,id_etapa,0,0
2024-11-18,laboral,etapas,correlativo_viajes,0,0
2024-11-19,laboral,viajes,tipodia,0,0
2024-11-19,laboral,viajes,factor_expansion,0,0
2024-11-19,laboral,viajes,n_etapas,0,0
2024-11-19,laboral,viajes,tviaje,0,3625203
2024-11-19,laboral,viajes,tviaje2,0,1495702
2024-11-19,laboral,viajes,distancia_eucl,0,959618
2024-11-19,laboral,viajes,distancia_ruta,0,0
2024-11-19,laboral,viajes,tiempo_inicio_viaje,0,0
2024-11-19,laboral,viajes,tiempo_fin_viaje,0,959668
2024-11-19,laboral,viajes,periodo_inicio_viaje,0,0
2024-11-19,laboral,viajes,periodo_fin_viaje,0,0
2024-11-19,laboral,viajes,comuna_inicio_viaje,0,0
2024-11-19,laboral,viajes,comuna_fin_viaje,0,0
2024-11-19,laboral,viajes,zona_inicio_viaje,0,1146
2024-11-19,laboral,viajes,zona_fin_viaje,0,965462
2024-11-19,laboral,viajes,netapassinbajada,0,0
2024-11-19,laboral,viajes,ultimaetapaconbajada,0,0
2024-11-19,laboral,viajes,tipo_corte_etapa_viaje,0,0
2024-11-19,laboral,viajes,id_tarjeta,0,0
2024-11-19,laboral,viajes,id_viaje,0,0
2024-11-19,laboral,etapas,tipo_dia,0,0
2024-11-19,laboral,etapas,tipo_transporte,0,0
2024-11-19,laboral,etapas,fExpansionServicioPeriodoTS,0,0
2024-11-19,laboral,etapas,fExpansionZonaPeriodoTS,0,1058062
2024-11-19,laboral,etapas,tiene_bajada,0,0
2024-11-19,laboral,etapas,tiempo2,0,0
2024-11-19,laboral,etapas,tiempo_subida,0,0
2024-11-19,laboral,etapas,tiempo_bajada,0,1050157
2024-11-19,laboral,etapas,tiempo_etapa,0,1050157
2024-11-19,laboral,etapas,x_subida,0,0
2024-11-19,laboral,etapas,y_subida,0,0
2024-11-19,laboral,etapas,x_bajada,0,1050157
2024-11-19,laboral,etapas,y_bajada,0,1050157
2024-11-19,laboral,etapas,dist_ruta_paraderos,0,1050157
2024-11-19,laboral,etapas,dist_eucl_paraderos,0,1050157
2024-11-19,laboral,etapas,comuna_subida,0,1316
2024-11-19,laboral,etapas,comuna_bajada,0,1057752
2024-11-19,laboral,etapas,zona_subida,0,1401
2024-11-19,laboral,etapas,zona_bajada,0,1057808
2024-11-19,laboral,etapas,periodoSubida,0,0
2024-11-19,laboral,etapas,periodoBajada,0,1050157
2024-11-19,laboral,etapas,id_etapa,0,0
2024-11-19,laboral,etapas,correlativo_viajes,0,0
2024-11-20,laboral,viajes,tipodia,0,0
2024-11-20,laboral,viajes,factor_expansion,0,0
2024-11-20,laboral,viajes,n_etapas,0,0
2024-11-20,laboral,viajes,tviaje,0,3655110
2024-11-20,laboral,viajes,tviaje2,0,1502307
2024-11-20,laboral,viajes,distancia_eucl,0,969615
2024-11-20,laboral,viajes,distancia_ruta,0,0
2024-11-20,laboral,viajes,tiempo_inicio_viaje,0,0
2024-11-20,laboral,viajes,tiempo_fin_viaje,0,969670
2024-11-20,laboral,viajes,periodo_inicio_viaje,0,0
2024-11-20,laboral,viajes,periodo_fin_viaje,0,0
2024-11-20,laboral,viajes,comuna_inicio_viaje,0,0
2024-11-20,laboral,viajes,comuna_fin_viaje,0,0
